Store,Month0,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12
1,2023,2146,2056,2220,2263,2331,2149,2128,2234,2060,1677,1437,1002
2,3452,3169,3209,3302,3794,3652,3435,3287,3958,3305,3008,3296,3381
3,2845,2817,2901,3336,2518,2769,1760,1742,1864,1808,1444,1473,1517
4,3133,3036,2680,3279,3244,3287,3122,3261,3729,2749,2851,2944,3220
5,3798,3798,4060,4014,5103,4474,4499,4596,4494,4714,4745,4931,5501
