Store,Month0,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12
1,0,62,0,0,-2,-1,-67,-66,-69,-82,-251,-337,-612
2,0,-352,-242,-494,-78,-452,-382,-491,-123,-368,-463,-231,-33
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,-160,-473,0,-100,-325,-309,-136,-116,-645,-713,-691,-524
5,0,-38,-83,-212,243,-337,-92,-142,-339,267,-146,-205,108
